v_in0,v_in1,spice_vout0,pytorch_vout0,abs_err
0.000000000000000000e+00,2.999999999999999889e-01,-4.403030000000000138e-02,-4.403023049235343933e-02,6.950764656205032921e-08
1.000000000000000056e-01,2.999999999999999889e-01,-1.023229999999999973e-01,-1.023231595754623413e-01,1.595754623440193143e-07
2.000000000000000111e-01,2.999999999999999889e-01,-1.600810000000000011e-01,-1.600812524557113647e-01,2.524557113636749506e-07
2.999999999999999889e-01,2.999999999999999889e-01,-2.108480000000000076e-01,-2.108478397130966187e-01,1.602869033889842143e-07
4.000000000000000222e-01,2.999999999999999889e-01,-2.488609999999999989e-01,-2.488614171743392944e-01,4.171743392955562513e-07
5.000000000000000000e-01,2.999999999999999889e-01,-2.707499999999999907e-01,-2.707504034042358398e-01,4.034042358491696234e-07
5.999999999999999778e-01,2.999999999999999889e-01,-2.763209999999999833e-01,-2.763209640979766846e-01,3.590202329872838050e-08
6.999999999999999556e-01,2.999999999999999889e-01,-2.681290000000000062e-01,-2.681287229061126709e-01,2.770938873353223642e-07
8.000000000000000444e-01,2.999999999999999889e-01,-2.502519999999999745e-01,-2.502519786357879639e-01,2.136421201059945929e-08
9.000000000000000222e-01,2.999999999999999889e-01,-2.269750000000000101e-01,-2.269747108221054077e-01,2.891778946023659813e-07
1.000000000000000000e+00,2.999999999999999889e-01,-2.018890000000000129e-01,-2.018892616033554077e-01,2.616033553948238222e-07
0.000000000000000000e+00,4.000000000000000222e-01,-5.461089999999999695e-02,-5.461088940501213074e-02,1.059498786620816091e-08
1.000000000000000056e-01,4.000000000000000222e-01,-1.188459999999999933e-01,-1.188455671072006226e-01,4.328927993707543109e-07
2.000000000000000111e-01,4.000000000000000222e-01,-1.863360000000000016e-01,-1.863361448049545288e-01,1.448049545271778982e-07
2.999999999999999889e-01,4.000000000000000222e-01,-2.502829999999999777e-01,-2.502827942371368408e-01,2.057628631368935146e-07
4.000000000000000222e-01,4.000000000000000222e-01,-3.031780000000000030e-01,-3.031784594058990479e-01,4.594058990448068869e-07
5.000000000000000000e-01,4.000000000000000222e-01,-3.389050000000000118e-01,-3.389052450656890869e-01,2.450656890751190531e-07
5.999999999999999778e-01,4.000000000000000222e-01,-3.545499999999999763e-01,-3.545499742031097412e-01,2.579689023507469869e-08
6.999999999999999556e-01,4.000000000000000222e-01,-3.510079999999999867e-01,-3.510082066059112549e-01,2.066059112681983834e-07
8.000000000000000444e-01,4.000000000000000222e-01,-3.321879999999999833e-01,-3.321878015995025635e-01,1.984004974198150251e-07
9.000000000000000222e-01,4.000000000000000222e-01,-3.034180000000000210e-01,-3.034176528453826904e-01,3.471546173305917193e-07
1.000000000000000000e+00,4.000000000000000222e-01,-2.699099999999999833e-01,-2.699104249477386475e-01,4.249477386641942189e-07
0.000000000000000000e+00,5.000000000000000000e-01,-5.130359999999999782e-02,-5.130348727107048035e-02,1.127289295174693784e-07
1.000000000000000056e-01,5.000000000000000000e-01,-1.186659999999999937e-01,-1.186659783124923706e-01,2.168750762310267532e-08
2.000000000000000111e-01,5.000000000000000000e-01,-1.936170000000000113e-01,-1.936166733503341675e-01,3.266496658438367007e-07
2.999999999999999889e-01,5.000000000000000000e-01,-2.701649999999999885e-01,-2.701651751995086670e-01,1.751995086785029798e-07
