v_in0,v_in1,spice_vout0,pytorch_vout0,abs_err
6.078025999999999707e-01,-9.960170000000000412e-01,4.636430999999999747e-01,4.636426568031311035e-01,4.431968688711762638e-07
7.078025999999999485e-01,-9.960170000000000412e-01,4.708600000000000008e-01,4.708594679832458496e-01,5.320167541511544584e-07
8.078026000000000373e-01,-9.960170000000000412e-01,4.771561000000000274e-01,4.771554470062255859e-01,6.529937744415015288e-07
9.078026000000000151e-01,-9.960170000000000412e-01,4.825701000000000018e-01,4.825695157051086426e-01,5.842948913592493909e-07
-9.921969999999999956e-01,-8.960169999999999524e-01,2.777643000000000195e-01,2.777643203735351562e-01,2.037353513673068051e-08
-8.921970000000000178e-01,-8.960169999999999524e-01,2.832583000000000184e-01,2.832581996917724609e-01,1.003082275574662674e-07
-7.921970000000000400e-01,-8.960169999999999524e-01,2.902174000000000142e-01,2.902173697948455811e-01,3.020515443319382598e-08
-6.921969999999999512e-01,-8.960169999999999524e-01,2.985670000000000268e-01,2.985668182373046875e-01,1.817626953393158828e-07
-5.921969999999999734e-01,-8.960169999999999524e-01,3.081839000000000106e-01,3.081837892532348633e-01,1.107467651473292847e-07
-4.921969999999999956e-01,-8.960169999999999524e-01,3.188961000000000157e-01,3.188960552215576172e-01,4.477844239847428298e-08
-3.921970000000000178e-01,-8.960169999999999524e-01,3.304854999999999876e-01,3.304854035377502441e-01,9.646224974346750969e-08
-2.921969999999999845e-01,-8.960169999999999524e-01,3.426965000000000150e-01,3.426964879035949707e-01,1.209640504429287944e-08
-1.921970000000000067e-01,-8.960169999999999524e-01,3.552498000000000045e-01,3.552498221397399902e-01,2.213973998577145608e-08
-9.219739999999999880e-02,-8.960169999999999524e-01,3.678595000000000059e-01,3.678594231605529785e-01,7.683944702741030142e-08
7.802627999999999821e-03,-8.960169999999999524e-01,3.802517000000000258e-01,3.802515864372253418e-01,1.135627746839951158e-07
1.078025999999999984e-01,-8.960169999999999524e-01,3.921814000000000133e-01,3.921812772750854492e-01,1.227249145641096106e-07
2.078026000000000040e-01,-8.960169999999999524e-01,4.034455000000000124e-01,4.034453630447387695e-01,1.369552612429103533e-07
3.078025999999999818e-01,-8.960169999999999524e-01,4.138899999999999801e-01,4.138897061347961426e-01,2.938652038375622055e-07
4.078026000000000151e-01,-8.960169999999999524e-01,4.234119000000000077e-01,4.234115481376647949e-01,3.518623352127825399e-07
5.078025999999999929e-01,-8.960169999999999524e-01,4.319565000000000210e-01,4.319560527801513672e-01,4.472198486538125906e-07
6.078025999999999707e-01,-8.960169999999999524e-01,4.395107999999999793e-01,4.395102858543395996e-01,5.141456603796612512e-07
7.078025999999999485e-01,-8.960169999999999524e-01,4.460952999999999724e-01,4.460946321487426758e-01,6.678512572966255334e-07
8.078026000000000373e-01,-8.960169999999999524e-01,4.517546000000000062e-01,4.517540335655212402e-01,5.664344787659203462e-07
9.078026000000000151e-01,-8.960169999999999524e-01,4.565486000000000266e-01,4.565480351448059082e-01,5.648551941184187797e-07
-9.921969999999999956e-01,-7.960169999999999746e-01,2.563576000000000188e-01,2.563576102256774902e-01,1.022567747144265127e-08
-8.921970000000000178e-01,-7.960169999999999746e-01,2.615563000000000193e-01,2.615561783313751221e-01,1.216686248972642659e-07
-7.921970000000000400e-01,-7.960169999999999746e-01,2.682507000000000086e-01,2.682505846023559570e-01,1.153976440515513957e-07
-6.921969999999999512e-01,-7.960169999999999746e-01,2.763561999999999963e-01,2.763561308383941650e-01,6.916160583125829930e-08
-5.921969999999999734e-01,-7.960169999999999746e-01,2.857387000000000121e-01,2.857385873794555664e-01,1.126205444457184512e-07
-4.921969999999999956e-01,-7.960169999999999746e-01,2.962146999999999974e-01,2.962145805358886719e-01,1.194641113255734410e-07
-3.921970000000000178e-01,-7.960169999999999746e-01,3.075558999999999932e-01,3.075557947158813477e-01,1.052841186455211187e-07
-2.921969999999999845e-01,-7.960169999999999746e-01,3.194979000000000013e-01,3.194978237152099609e-01,7.628479004040400469e-08
-1.921970000000000067e-01,-7.960169999999999746e-01,3.317538999999999905e-01,3.317538499832153320e-01,5.001678465843539811e-08
-9.219739999999999880e-02,-7.960169999999999746e-01,3.440312999999999843e-01,3.440312743186950684e-01,2.568130491598097365e-08
7.802627999999999821e-03,-7.960169999999999746e-01,3.560500999999999805e-01,3.560499548912048340e-01,1.451087951465090953e-07
