v_in0,v_in1,spice_vout0,pytorch_vout0,abs_err
-4.980859999999999732e-01,-4.824140000000000095e-01,6.961087000000000524e-02,6.961065530776977539e-02,2.146922302298515106e-07
-3.980859999999999954e-01,-4.824140000000000095e-01,7.081147000000000136e-02,7.081127166748046875e-02,1.983325195326068879e-07
-2.980860000000000176e-01,-4.824140000000000095e-01,7.103710000000000580e-02,7.103678584098815918e-02,3.141590118466153214e-07
-1.980860000000000121e-01,-4.824140000000000095e-01,7.031502000000000585e-02,7.031458616256713867e-02,4.338374328671790181e-07
-9.808580000000000076e-02,-4.824140000000000095e-01,6.868357999999999408e-02,6.868305802345275879e-02,5.219765472352921876e-07
1.914223999999999960e-03,-4.824140000000000095e-01,6.617257999999999474e-02,6.617192924022674561e-02,6.507597732491321452e-07
1.019141999999999965e-01,-4.824140000000000095e-01,6.278462999999999405e-02,6.278389692306518555e-02,7.330769348085075521e-07
2.019141999999999881e-01,-4.824140000000000095e-01,5.848372999999999766e-02,5.848303437232971191e-02,6.956276702857477900e-07
3.019142000000000214e-01,-4.824140000000000095e-01,5.319594999999999879e-02,5.319538712501525879e-02,5.628749847400027484e-07
4.019141999999999992e-01,-4.824140000000000095e-01,4.682446999999999998e-02,4.682412743568420410e-02,3.425643157958790930e-07
5.019141999999999770e-01,-4.824140000000000095e-01,3.927662999999999988e-02,3.927643597126007080e-02,1.940287399290752113e-07
6.019141999999999548e-01,-4.824140000000000095e-01,3.049641000000000157e-02,3.049638122320175171e-02,2.877679824986323354e-08
7.019142000000000436e-01,-4.824140000000000095e-01,2.049356999999999915e-02,2.049361169338226318e-02,4.169338226403529468e-08
8.019142000000000214e-01,-4.824140000000000095e-01,9.361269000000000187e-03,9.361281991004943848e-03,1.299100494366045577e-08
9.019141999999999992e-01,-4.824140000000000095e-01,-2.722560000000000171e-03,-2.722613513469696045e-03,5.351346969587403302e-08
-9.980860000000000287e-01,-3.824139999999999762e-01,5.954747999999999986e-02,5.954748392105102539e-02,3.921051025534971757e-09
-8.980860000000000509e-01,-3.824139999999999762e-01,6.554701999999999751e-02,6.554675102233886719e-02,2.689776611303207332e-07
-7.980859999999999621e-01,-3.824139999999999762e-01,7.090654999999999875e-02,7.090631127357482910e-02,2.387264251696441519e-07
-6.980859999999999843e-01,-3.824139999999999762e-01,7.548101000000000116e-02,7.548072934150695801e-02,2.806584930431510472e-07
-5.980860000000000065e-01,-3.824139999999999762e-01,7.914279999999999926e-02,7.914257049560546875e-02,2.295043945305108579e-07
-4.980859999999999732e-01,-3.824139999999999762e-01,8.179021999999999681e-02,8.178991079330444336e-02,3.092066955534544803e-07
